Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
bread maker,Commercial,60500,"0.36,0.30,0.30,0.45,0.55,0.45,0.45,0.45,0.67,0.82,1.00,0.55",62,0.21,1.00,"Sitelinks, Image, Video, People also ask, Buying guide, Discussions and forums, Related searches, Popular products",0
zojirushi bread maker,Commercial,12100,"0.44,0.44,0.54,0.54,0.54,0.54,0.54,0.81,1.00,0.81,0.81,0.66",51,0.41,1.00,"Sitelinks, Image, Video, People also ask, Recipes, Discussions and forums, Related searches, Popular products",959000
bread maker machine,Commercial,8100,"0.54,0.44,0.30,0.36,0.36,0.44,1.00,1.00,0.54,0.54,0.44,0.30",62,0.24,1.00,"Sitelinks, Image, Video, People also ask, Buying guide, Discussions and forums, Related searches, Popular products",76500000
cuisinart bread maker,Commercial,8100,"0.44,0.36,0.36,0.36,0.36,0.44,0.44,0.54,0.81,1.00,0.81,0.54",41,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Things to know",5550000
bread make it with you,"Informational, Transactional",5400,"0.55,0.67,0.55,0.35,0.55,0.67,0.67,0.55,0.67,0.82,1.00,1.00",53,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",1190000000
cuisinart bread maker recipes,"Informational, Transactional",4400,"0.44,0.35,0.29,0.35,0.29,0.44,0.44,0.44,0.54,1.00,0.81,0.54",33,0.03,0.33,"Sitelinks, Video, Recipes, Related searches",3920000
bread machine maker,Transactional,3600,"0.82,0.53,0.24,0.12,0.05,0.44,1.00,0.67,0.82,1.00,0.67,0.03",55,0.21,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",69700000
hamilton beach bread maker,"Informational, Transactional",2900,"0.65,0.55,0.55,0.42,0.55,0.65,0.65,0.65,0.82,0.82,1.00,0.82",34,0.26,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",3150000
oster bread maker,Commercial,2900,"0.81,0.65,0.54,0.43,0.54,0.81,0.81,0.54,0.81,0.65,0.65,1.00",31,0.22,1.00,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches, Popular products",1650000
breville bread maker,Commercial,1900,"0.45,0.83,0.45,0.45,0.45,0.55,1.00,0.83,0.83,1.00,0.65,0.45",38,0.24,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",3110000
make it with you bread,"Informational, Transactional",1900,"0.23,0.08,0.15,1.00,0.55,0.29,0.36,0.55,0.65,0.36,0.55,0.23",51,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",1150000000
oster bread maker recipes,"Informational, Transactional",1900,"0.66,0.55,0.45,0.45,0.45,0.45,0.45,0.45,0.66,0.83,1.00,0.83",35,0.04,0.11,"Sitelinks, Image, Video, People also ask, Recipes, Related searches",98
panasonic bread maker,"Informational, Transactional",1900,"0.36,0.27,0.36,0.27,0.80,0.44,1.00,1.00,0.52,0.66,1.00,0.52",37,0.27,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",3260000
bread maker mixes,Commercial,1600,"1.00,1.00,0.55,0.34,0.83,0.65,0.25,0.20,0.55,0.30,0.30,0.34",46,0.70,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",8110000
bread mix for bread maker,Commercial,1600,"0.53,0.27,0.36,0.16,0.06,1.00,0.16,0.25,0.36,1.00,0.44,0.16",40,0.70,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches",46800000
breville custom loaf bread maker,"Informational, Transactional",1600,"0.04,0.03,0.03,0.15,0.15,0.08,1.00,0.66,0.15,0.19,0.10,0.05",39,0.30,1.00,"Reviews, Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products",70
amazon bread maker,Transactional,1300,"0.37,0.37,0.29,0.29,0.37,0.41,0.41,0.67,0.79,1.00,0.67,0.41",37,0.19,1.00,"Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",30900000
bread make it with u,"Informational, Transactional",1300,"0.07,0.24,0.16,0.16,0.13,0.29,0.10,0.05,0.03,0.19,0.01,1.00",49,0.00,0.00,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Related searches",456000000
bread make it you,"Informational, Transactional",1300,"0.36,0.36,0.36,0.36,0.05,0.27,0.24,0.27,0.27,0.44,0.52,1.00",46,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",929000000
bread maker machine oster,"Informational, Transactional",1300,"0.79,0.66,0.54,0.66,0.54,1.00,0.24,0.41,0.16,0.66,0.00,0.07",26,0.22,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",687000
bread maker reviews,Commercial,1300,"0.20,0.16,0.04,0.16,0.03,0.02,0.07,0.22,1.00,0.81,0.43,0.08",62,0.43,0.84,"Sitelinks, Image, Video, People also ask, Buying guide, Related searches, Popular products",71800000
bread maker top rated,Commercial,1300,"0.00,1.00,0.66,0.79,0.79,1.00,0.66,0.79,0.20,0.54,0.08,0.10",61,0.46,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Buying guide, Related searches, Popular products",212000000
cusinart bread maker,Commercial,1300,"0.67,0.30,0.05,0.67,1.00,0.51,0.47,0.67,1.00,0.84,0.84,0.07",39,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Shopping ads",5670000
elite gourmet bread maker,Commercial,1300,"0.30,0.30,0.30,0.24,0.30,0.34,0.34,0.44,0.55,1.00,1.00,0.65",32,0.16,1.00,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Related searches, Popular products",1490000
sunbeam bread maker,Commercial,1300,"1.00,0.82,0.55,0.62,0.82,0.62,0.82,1.00,1.00,0.82,1.00,0.82",26,0.22,0.99,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",977000
west bend bread maker,Commercial,1300,"0.55,1.00,0.80,0.80,0.62,0.80,0.62,1.00,1.00,1.00,1.00,0.44",25,0.21,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",1930000
bread band make it with you,"Informational, Transactional",1000,"0.05,0.24,0.16,0.16,0.13,0.00,0.10,0.05,0.03,0.19,0.01,1.00",40,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",61300000
bread maker machines,Commercial,1000,"0.22,0.20,0.13,0.08,0.20,0.08,1.00,0.29,0.16,0.16,0.20,0.13",50,0.24,1.00,"Sitelinks, Image, Video, People also ask, Buying guide, Discussions and forums, Related searches, Popular products",17200000
mix for bread maker,Commercial,1000,"0.07,0.55,0.44,0.65,0.82,1.00,0.65,0.00,0.00,0.00,0.00,0.00",37,0.70,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Discussions and forums, Related searches",44200000
ninja bread maker,Commercial,1000,"0.16,0.16,0.13,0.13,0.30,1.00,0.20,0.30,0.44,0.44,0.55,0.34",32,0.22,1.00,"Reviews, Image, Video, People also ask, Recipes, Related searches",89
bread i want to make it with you,"Informational, Transactional",880,"0.66,1.00,0.16,0.24,0.20,0.20,0.24,0.36,0.24,0.36,0.20,0.66",47,0.00,0.00,"Image pack, Video, People also ask, Related searches, People also search",819000000
bread maker deals,"Informational, Transactional",880,"0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,1.00,0.66,0.13,0.01",33,0.25,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products",180000000
bread maker near me,Transactional,880,"0.46,0.31,0.46,0.31,0.25,0.25,0.31,0.37,0.37,1.00,0.52,0.37",48,0.31,1.00,"Reviews, Image, Video, People also ask, Local pack, Related searches, Popular products",91
bread maker walmart,"Navigational, Transactional",880,"0.56,0.76,0.67,0.37,0.56,0.44,0.56,0.76,0.76,1.00,0.76,0.56",32,0.26,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",10600000
bread maker with yeast,Commercial,880,"0.07,0.18,0.18,0.18,0.18,0.24,0.10,0.10,0.07,0.35,0.03,1.00",48,0.23,0.98,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches, People also search, Popular products",9600000
bread songs make it with you,"Informational, Transactional",880,"0.07,0.66,0.08,0.24,0.10,0.20,0.04,0.20,0.02,1.00,0.20,0.03",51,0.00,0.00,"Video, People also ask, Knowledge panel, Related searches",82500000
cuisinart compact automatic bread maker,"Informational, Transactional",880,"0.31,0.31,0.25,0.25,0.25,0.31,0.37,0.68,0.68,1.00,0.68,0.46",36,0.22,1.00,"Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products, Shopping ads",88
cuisinart convection bread maker,"Informational, Transactional",880,"0.89,0.73,0.73,0.58,0.73,0.73,0.73,0.89,1.00,1.00,1.00,0.73",27,0.25,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products, Shopping ads",92
make it you bread,"Informational, Transactional",880,"0.05,1.00,0.66,0.66,0.55,0.02,0.09,0.18,0.02,0.80,0.07,0.05",52,0.00,0.00,"Image, Video, People also ask, Knowledge panel, Related searches, People also search",1250000000
bread maker for sourdough,"Informational, Commercial",720,"0.19,0.14,0.22,0.14,0.44,0.75,0.11,0.44,0.36,1.00,0.28,0.56",51,0.24,1.00,"Sitelinks, Image, Video, People also ask, Recipes, Related searches, Popular products",26300000
bread maker machine reviews,Commercial,720,"0.36,0.36,0.36,0.45,0.36,0.36,1.00,0.76,0.76,1.00,0.55,0.67",60,0.43,0.84,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Buying guide, Related searches",27500000
bread maker machine walmart,"Navigational, Transactional",720,"0.89,0.89,0.59,0.59,0.48,0.48,0.59,0.89,1.00,0.74,0.74,0.19",31,0.26,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",1810000
kbs bread maker,"Informational, Transactional",720,"0.30,0.24,0.30,0.24,0.20,0.30,0.30,0.36,0.55,1.00,0.81,0.45",28,0.23,1.00,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products, Shopping ads",92
oster bread maker machine,"Informational, Transactional",720,"1.00,1.00,0.67,0.67,0.24,0.67,0.56,0.19,0.56,0.56,0.07,0.67",25,0.22,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",502000
bread maker for gluten free,Commercial,590,"0.20,0.16,0.20,0.16,1.00,0.52,0.07,0.08,0.25,0.25,0.25,0.11",21,0.22,1.00,"Sitelinks, Reviews, Image pack, Video, Short videos, People also ask, Recipes, Related searches, Popular products",45000000
bread maker hamilton beach,"Informational, Transactional",590,"1.00,0.10,0.54,0.03,0.46,0.16,0.54,0.24,0.54,0.68,0.29,0.00",27,0.26,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",3230000
bread maker machine amazon,Transactional,590,"1.00,0.36,0.45,0.20,0.24,0.45,0.24,0.45,0.45,0.55,0.36,0.55",31,0.19,1.00,"Image, Video, People also ask, Related searches, People also search, Popular products",7230000
cuckoo bread maker,Commercial,590,"0.55,0.36,0.44,0.44,0.55,0.55,0.55,0.55,1.00,0.82,1.00,0.65",25,0.20,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches",76
hamilton beach bread maker manual,"Informational, Transactional",590,"0.72,0.48,0.48,0.48,0.48,0.59,0.59,0.59,0.72,0.72,1.00,0.88",28,0.36,0.03,"Image pack, Video, People also ask, Recipes, Related searches",1340000
toastmaster bread maker,Transactional,590,"0.67,0.54,0.54,0.44,0.54,0.44,0.67,0.67,0.67,0.67,1.00,0.67",14,0.40,0.97,"Sitelinks, Reviews, Image pack, Video, Short videos, People also ask, Recipes, Discussions and forums, Related searches, Popular products",83
zojirushi bread maker machine,Commercial,590,"0.30,0.13,0.36,0.55,0.20,0.24,0.16,0.36,1.00,0.67,0.55,0.67",42,0.28,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",285000
automatic bread maker,Commercial,480,"0.24,0.20,0.24,0.24,0.13,0.36,0.24,0.36,0.55,0.67,1.00,0.67",35,0.21,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",13600000
bread maker bread mixes,Commercial,480,"0.13,0.24,0.04,0.10,0.55,0.16,0.16,1.00,0.55,0.45,0.45,0.13",37,0.70,1.00,"Sitelinks, Image, Video, People also ask, Recipes, Related searches, Popular products",9090000
bread maker cookbook,"Informational, Commercial",480,"0.48,0.32,0.32,0.17,0.59,0.59,0.48,0.39,0.72,1.00,0.48,0.48",18,0.15,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",97
bread maker for gluten free bread,Commercial,480,"0.36,0.30,0.24,0.10,0.36,0.24,0.10,0.10,0.67,0.76,0.67,1.00",44,0.23,1.00,"Sitelinks, Reviews, Video, People also ask, Recipes, Related searches, Popular products",69300000
bread maker machine recipe book,Commercial,480,"0.36,0.13,0.16,0.13,0.16,0.20,0.36,0.36,0.55,1.00,0.30,0.13",22,0.15,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, People also search, Popular products",9320000
bread maker recipe booklet,Commercial,480,"0.45,0.20,0.24,0.36,0.55,0.36,0.45,0.45,0.30,1.00,0.00,0.24",22,0.15,1.00,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches",557000
bread maker welbilt,Commercial,480,"1.00,0.80,0.53,0.02,0.67,0.80,0.44,0.67,1.00,0.80,0.07,0.07",30,0.42,0.98,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",91
cuisnart bread maker,Commercial,480,"0.24,0.24,0.20,0.30,0.45,0.30,0.20,0.24,0.36,0.55,1.00,0.02",40,0.24,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",5010000
kitchenaid bread maker,"Informational, Commercial",480,"0.48,0.39,0.39,0.39,0.48,0.48,0.48,0.48,1.00,0.72,0.48,0.48",21,0.24,1.00,"Sitelinks, Image, Video, People also ask, Related searches",8190000
oyster bread maker,"Informational, Transactional",480,"0.67,0.67,0.44,0.36,0.44,0.53,0.53,0.53,0.67,1.00,0.80,0.22",25,0.22,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",79
regal kitchen pro bread maker,Commercial,480,"0.83,0.54,0.36,0.54,0.44,0.54,0.67,0.67,0.83,0.83,1.00,0.83",24,0.00,0.62,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",59
small bread maker,Commercial,480,"0.67,0.36,0.44,0.23,0.29,0.44,0.67,0.54,0.81,0.81,1.00,0.67",32,0.19,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",129000000
williams sonoma bread maker,Commercial,480,"0.67,0.54,0.44,0.19,0.54,0.67,0.67,1.00,1.00,0.83,0.83,0.54",30,0.27,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads",556000
yeast for bread maker,"Informational, Commercial",480,"0.65,1.00,0.65,0.29,0.55,0.07,0.11,0.65,0.55,0.65,0.44,0.55",41,0.23,0.98,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products",20500000
zojirushi home bakery mini bread maker,"Informational, Transactional",480,"0.54,0.29,0.12,0.15,0.23,0.36,0.54,0.44,0.81,1.00,0.81,0.67",41,0.24,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products, People also search, Shopping ads",98
bread maker breville,Transactional,390,"0.26,0.26,0.26,0.14,0.07,0.04,0.21,0.59,0.59,1.00,0.59,0.05",31,0.24,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Shopping ads",3200000
bread maker mix,"Informational, Commercial",390,"0.36,0.30,0.16,0.06,0.36,0.16,0.45,0.08,1.00,0.45,0.36,0.76",42,0.70,1.00,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Recipes, Discussions and forums, Related searches, Popular products",80100000
bread maker oster,"Informational, Transactional",390,"0.36,0.07,0.29,0.54,0.24,0.54,0.24,0.36,0.44,0.54,1.00,0.24",25,0.22,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",87
bread maker toastmaster,Transactional,390,"0.66,0.81,0.81,0.11,0.81,0.66,0.81,1.00,0.81,0.66,0.00,1.00",11,0.40,0.97,"Sitelinks, Reviews, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches, Popular products",290000
cuisinart 2-pound convection bread maker,"Informational, Transactional",390,"1.00,0.81,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00",30,0.00,0.00,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",69200
cuisinart automatic bread maker,"Informational, Transactional",390,"0.44,0.44,0.44,0.36,0.44,0.54,0.54,0.54,0.82,1.00,0.82,0.54",33,0.21,1.00,"Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Popular products",99
dash bread maker,"Informational, Commercial",390,"0.88,0.63,0.50,0.50,0.63,0.88,0.63,0.88,1.00,1.00,1.00,0.88",25,0.21,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",80
hitachi bread maker,"Informational, Commercial",390,"1.00,0.82,0.82,1.00,0.67,0.82,0.82,0.82,1.00,0.82,0.82,0.67",25,0.23,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products",75
horizontal bread maker,Commercial,390,"0.08,0.08,0.07,0.07,0.07,0.11,1.00,0.46,0.08,0.13,0.13,0.08",34,0.25,1.00,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Recipes, Related searches, Popular products",72
kohls bread maker,"Informational, Transactional",390,"0.32,0.16,0.32,0.26,0.26,0.26,0.58,0.58,0.73,1.00,0.48,0.16",26,0.84,1.00,"Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",97
mini bread maker,Commercial,390,"0.66,0.44,0.44,0.35,0.54,0.44,0.66,0.81,1.00,1.00,1.00,0.44",35,0.19,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",81600000
non toxic bread maker,Commercial,390,"0.23,0.19,0.19,0.15,0.29,0.36,0.66,0.81,1.00,0.81,0.81,0.66",14,0.43,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",88
recommended bread maker,Commercial,390,"1.00,0.30,0.30,0.54,0.68,0.68,0.43,0.54,0.14,1.00,0.19,0.35",57,0.46,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products",27800000
walmart bread maker,"Navigational, Transactional",390,"0.82,0.55,0.44,0.44,0.29,0.44,0.44,0.44,0.82,0.65,1.00,0.82",31,0.26,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, People also search, Popular products",10500000
zojirushi bread maker recipe,"Informational, Transactional",390,"0.48,0.59,0.48,0.48,0.39,0.05,1.00,0.88,0.07,0.07,0.07,0.05",25,0.31,0.52,"Sitelinks, Video, Short videos, Recipes, Related searches",530000
arabic bread maker,"Informational, Transactional",320,"1.00,0.67,0.36,0.28,0.44,0.36,0.23,0.19,0.28,0.28,0.23,0.23",22,0.12,1.00,"Reviews, Image, Image pack, Video, Recipes, Related searches, Popular products",97
auto bread maker,Commercial,320,"0.36,0.44,0.44,0.36,0.44,0.44,0.23,0.29,0.36,1.00,0.15,0.36",48,0.21,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",25700000
black and decker bread maker,Commercial,320,"0.67,0.82,0.67,0.67,0.67,0.67,0.67,0.82,0.82,0.82,1.00,0.82",16,0.23,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",91
bread automatic bread maker,Commercial,320,"0.15,0.29,0.29,0.29,0.29,0.36,0.23,0.36,0.29,1.00,0.19,0.81",45,0.21,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",22500000
bread maker breadman,"Informational, Transactional",320,"0.07,0.08,0.05,0.02,0.00,0.00,0.00,0.00,0.02,0.04,1.00,0.00",20,0.18,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Recipes, Discussions and forums, Related searches, Popular products",189000
bread maker nearby,Transactional,320,"0.13,0.13,0.13,0.06,0.13,0.16,0.20,0.20,0.30,1.00,0.30,0.55",48,0.49,1.00,"Image, Image pack, Video, People also ask, Local pack, Related searches, People also search, Popular products",84
bread maker regal,Commercial,320,"0.67,0.81,0.67,0.67,0.67,0.81,0.67,0.81,0.14,1.00,0.22,0.28",25,0.35,0.91,"Reviews, Image, Image pack, Video, People also ask, Recipes, Related searches, Popular products",749000
bread maker target,"Navigational, Transactional",320,"0.80,0.36,0.53,0.36,0.44,0.53,0.44,0.53,0.36,1.00,0.29,0.44",30,0.22,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",16900000
bread maker west bend,"Informational, Transactional",320,"0.68,0.11,0.11,0.08,0.08,0.07,0.05,0.11,0.08,0.16,0.13,1.00",24,0.21,1.00,"Reviews, Image, Video, People also ask, Recipes, Related searches, Popular products",884000
bread maker zojirushi,"Informational, Transactional",320,"0.11,0.05,0.08,0.00,0.16,0.00,0.00,0.00,0.31,1.00,0.16,0.07",38,0.41,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, People also search, Popular products, Things to know, Shopping ads",841000
breville the custom loaf bread maker,"Informational, Transactional",320,"0.05,0.03,0.00,0.04,0.08,0.13,1.00,0.05,0.07,0.20,0.13,0.00",41,0.30,1.00,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products, People also search",72
cheap bread maker,Commercial,320,"0.54,0.67,0.67,0.43,0.35,0.67,0.54,0.81,1.00,1.00,0.81,0.67",50,0.24,1.00,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",172000000
cuisinart bread maker recipe,"Informational, Transactional",320,"0.80,1.00,0.80,0.67,0.53,0.80,1.00,0.53,1.00,1.00,0.80,0.53",23,0.03,0.33,"Sitelinks, Reviews, Video, Recipes, Related searches, People also search",5170000
japanese bread maker,Commercial,320,"0.81,0.43,0.54,0.81,0.66,0.66,0.54,0.54,0.81,1.00,0.54,0.66",45,0.33,1.00,"Sitelinks, Image pack, Video, Short videos, People also ask, Recipes, Discussions and forums, Related searches, People also search, Popular products",39800000
magic chef bread maker,"Informational, Transactional",320,"0.67,0.43,0.54,0.54,0.43,0.54,0.67,0.81,0.67,0.67,1.00,0.67",24,0.23,0.99,"Image pack, Video, People also ask, Related searches",79
make it with you by bread,"Informational, Transactional",320,"0.56,0.56,0.67,0.44,0.36,1.00,0.67,0.56,0.28,0.44,1.00,0.28",46,0.00,0.00,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",1190000000
used bread maker,Commercial,320,"0.54,0.66,0.66,0.54,0.54,0.54,0.66,0.66,0.81,0.81,1.00,0.81",24,0.09,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",100
zojirushi bread maker manual,"Informational, Transactional",320,"0.81,0.67,0.43,0.54,0.54,0.54,0.67,0.67,0.81,0.81,1.00,0.81",27,0.00,0.06,"Video, People also ask, Related searches",99
zojirushi home bakery virtuoso plus bread maker,"Informational, Transactional",320,"0.23,0.19,0.19,0.12,0.15,0.66,0.29,0.66,1.00,0.66,0.81,0.23",49,0.76,1.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Related products, People also search, Shopping ads",74
