"Name","Description","Short description","Regular price","Images","Meta:asin","Category"
"Air Fryer 5QT Nonstick Grey 4-in-1 Cooker Dehydrate Roast","Experience the ultimate in crispy cooking with the Ninja Air Fryer Pro, featuring Air Crisp Technology that surrounds your favorite foods with superheated air for hot, crispy results at temperatures of up to 400F. With a large 5 QT capacity, you can cook up to 4 lbs of French fries and other crispy treats using little to no oil, making it easy to enjoy your favorite guilt-free snacks. This versatile air fryer offers four cooking functions, including Air Fry, Roast, Reheat, and Dehydrate, allowing you to satisfy any craving, from crispy appetizers and snacks to full meals, all with minimal oil and maximum flavor. Additionally, the nonstick basket and crisper plate make cleanup a breeze, so you can focus on cooking and enjoying your favorite dishes, crispy and healthy, every time."," AIR CRISP TECHNOLOGY: 400℉ superheated air surrounds food for hot, crispy results with little to no oil.
 LARGE CAPACITY: The 5-QT nonstick basket and crisper plate fit up to 4 lbs of French fries or 5 lbs of chicken wings.
 4-in-1 FUNCTIONALITY: Air Fry, Roast, Reheat, and Dehydrate.
 GUILT-FREE FRIED FOODS: Up to 75% less fat than traditional air frying methods. Tested against hand-cut, deep-fried French fries.
 FROZEN TO CRISPY: Cook frozen foods in just minutes for an extra-crispy finish.
 SPACE SAVER: Ninja’s latest air fryer design allows you to save even more space on your countertop without compromising capacity.
 EASY TO CLEAN: The basket and crisper plate are both nonstick for easy cleaning.
 WHAT’S INCLUDED: Air Fryer, 5-QT nonstick basket and crisper plate, chef-inspired 20 recipe book and cooking charts.",89.99,"https://m.media-amazon.com/images/I/71QwoGmcfUL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71Q6tn4z2KL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81QajOlVmvL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81zS44I2GWL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81lQgk2DUFL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71xd475WpRL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71VGBzgBLsL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Zpg+gEw8L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71y4HMkXOmL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61tPb9qyXAL._AC_SL1500_.jpg","B0CSZ7WBYW","air-fryer-brands"
"Digital Air Fryer 4 Quart Medium Size Oven Cooker","Experience the ultimate in healthy frying with the Oster 4 Quart Digital Air Fryer, a versatile kitchen appliance that uses up to 99.5% less oil than traditional deep fryers to deliver crispy, fried food results with minimal guilt. With 10 pre-set digital functions, including bake, dehydrate, and reheat, you can effortlessly prepare a wide range of delicious meals, from succulent chicken wings and tender fish to golden french fries and mouth-watering desserts. The air fryer's viewing window and interior cooking chamber light provide optimal visibility, allowing you to monitor your food as it cooks, while the durable, non-stick coating ensures easy food release and hassle-free cleaning. Featuring a 60-minute timer with an audible ready alert, this air fryer takes the guesswork out of cooking, and its modern, matte black exterior with chrome accents makes a stylish addition to any kitchen. Perfect for health-conscious home cooks and busy families alike, the Oster 4 Quart Digital Air Fryer is a must-have kitchen essential for effortless, oil-free cooking every day."," 10-Preset Digital Functions: Bake, chicken wings, dehydrate, dessert, fish, french fries, meat, reheat, whole chicken, and vegetables, for easily making all of your favorite meals.
 Removable Viewing Window: Lets you monitor cooking process, and removes for easy cleaning.
 Sleek, Modern Design: Matte black exterior with chrome accents and easy-to-clean digital screen.
 Healthier Cooking: Get the delicious, crispy results you love, with up to 99.5% less oil than traditional deep fryers.
 Durable Nonstick Surface: Scratch-resistant finish won't flake or peel and ensures that food won't stick.
 Interior Cooking Chamber Light: Offers enhanced visibility while monitoring cooking progress.
 60-Minute Timer: With audible ""ready"" alert to let you know when food is done.",91.63,"https://m.media-amazon.com/images/I/6104Hct8wPL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81Qrh0+Sn9L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71PlQIv4eaL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81aReO0lCRL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81Mt6qnxjlL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81vLe+6cLVL._AC_SL1500_.jpg","B0D1LNZSLP","air-fryer-brands"
"Portable Air Fryer 4QT Glass Cooker Oven Bakeware Set","Experience the convenience of a full-sized air fryer in a portable design with the Ninja Crispi Portable Cooking System, boasting 1500W of power for rapid cooking. Featuring a 6-cup and 4-QT TempWare container, this versatile cooking system allows for effortless preparation of single-serve meals in just 7 minutes, perfect for busy individuals on-the-go. The Ninja Crispi is also ideal for sharing crispy snacks with friends and family or serving larger crowds, making it an essential addition to any kitchen or outdoor gathering. With the innovative TempWare glassware, you can effortlessly transition from frozen to crispy in minutes, streamlining your cooking process and delivering delicious results every time."," ALL-IN-ONE SYSTEM: Includes the Ninja Crispi PowerPod, 4-qt and 6-cup TempWare glass containers, and 2 storage lids.
 CRISPI POWERPOD: The power of a full-sized air fryer now in the palm of your hand.
 SMALL & LARGE BATCH CONTAINERS: 6 cup container cooks a personal sized meal in 7 mins while the 4 QT fits a 4-LB chicken and veggies.
 THERMAL SHOCK RESISTANT: Borosilicate glassware can go from frozen to crispy in minutes.
 4-in-1 FUNCTIONALITY: Max Crisp, Bake, Air Fry, & Recrisp.
 FIXED HEAT PROTECTION: Permanently fixed heat-safe feet so you can safely set it on granite, laminate, quartz, butcher block, marble, and more.
 LEAK-PROOF LIDS: Snap-lock lids ensure your meal won’t spill on the go.
EASY STORAGE: Ninja’s Crispi PowerPod and TempWare glassware nests together for mess-free storage in your cabinets.
CRISPI CONTAINER ADAPTER: Includes an adapter so the Crispi PowerPod can be used on the larger container.
EASY TO CLEAN: Containers, crisper plates, adapter and lids are dishwasher safe.",159.99,"https://m.media-amazon.com/images/I/71ikTqH2kiL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81khU-3QiwL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81fsZE+q27L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81xXWCEn3aL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81bbvbiCamL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81pujwCbg0L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81Glpl4DihL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81qG7ESHLqL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81ELuPx4-AL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81MMjlTzvXL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/713DpCFlYFL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71JZ6+55hPL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81hiKV9hXlL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/815pK5F3tmL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81EVUNWAD6L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71ulO8nwgsL._AC_SL1500_.jpg","B0DDDD8WD6","air-fryer-brands"
"Air Fryer 4-in-1 Oven Roast Bake Dehydrate 4QT Compact","Experience the power of speedy meal prep with the Ninja Air Fryer, a revolutionary kitchen appliance that cooks your favorite foods up to 50% faster than traditional ovens, making it a game-changer for busy families. This innovative air fryer ensures a crispy, golden finish on your meals every time, thanks to its advanced smart processor that automatically adjusts fan speeds for optimal hot air circulation, allowing for effortless cooking of a variety of dishes, from crispy 2 lbs. of French fries to roasted vegetables, all with minimal oil required. The generous 4-quart ceramic-coated basket accommodates family-sized portions, while the wide temperature range enables versatile cooking functions, including air frying, baking, roasting, reheating, and dehydrating, making it an essential addition to your kitchen countertop for quick and easy meal solutions. With its rapid cooking capabilities and little to no oil needed, the Ninja Air Fryer is perfect for health-conscious home cooks seeking a convenient and delicious way to prepare meals and snacks for the whole family."," LESS FAT: Now enjoy guilt-free food. Air fry with up to 75% less fat than traditional frying methods. Tested against hand-cut, deep-fried French fries.
 WIDE TEMPERATURE RANGE: 105°F-400°F allows you to gently remove moisture from foods or quickly cook and crisp foods with convection heat.
 FAMILY-SIZED CAPACITY: 4-quart ceramic-coated nonstick basket and crisper plate fit 2 lbs of French fries.
 4-IN-1 VERSATILITY: Includes 4 versatile cooking programs: Air Fry, Roast, Reheat, and Dehydrate.
 DEHYDRATE: Create flat, chip-like dehydrated foods for fun, homemade snacks. The combination of low fan speed and low temperature enables thorough dehydration.
 EASY-TO-CLEAN: Dishwasher safe parts including the basket, and crisper plate. Wipe to clean machine exterior.
 WHAT'S INCLUDED: Shark Air Fryer, 4 Quart Nonstick Basket, Crisper Plate, and 20 Recipe Booklet.",89.99,"https://m.media-amazon.com/images/I/71+8uTMDRFL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81IFXxclpbL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/911LxsOy5gL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91Gdn1R8CfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71vMsFfbCHL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91zhz9c1x+L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/912UFBdRwcL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/714BiSkDPDL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81mwqriqAzL._AC_SL1500_.jpg","B07FDJMC9Q","air-fryer-brands"
"Ninja Foodi 8Qt 6-in-1 Air Fryer Dual Zone Grey","Experience the ultimate in cooking convenience with the Ninja Foodi 6-in-1 8-qt. 2-Basket Air Fryer, featuring innovative Dual Zone Technology that enables simultaneous cooking of two different foods. This groundbreaking air fryer boasts two independent baskets, allowing you to cook multiple meals at once, eliminating the need for back-to-back cooking sessions. The Smart Finish feature of the Dual Zone Technology intelligently manages cooking times, ensuring that both foods are perfectly cooked and ready to serve at the same time, making meal prep a breeze and revolutionizing the way you use your air fryer."," 2 INDEPENDENT BASKETS: The original Air Fryer with 2 independent baskets, the XL air fryer lets you cook 2 foods, 2 ways, at the same time, eliminating back-to-back cooking like a traditional single-basket air fryer.
 SMART FINISH & MATCH COOK: DualZone Technology allows you to choose between the Smart Finish feature, which unlocks cooking 2 foods 2 ways that finish at the same time, and the and a Match Cook button to easily copy settings across zones for full 8-qt capacity.
 6-IN-1 FUNCTIONALITY: Includes 6 versatile cooking programs: Air Fry, Air Broil, Roast, Bake, Reheat, and Dehydrate. The baskets can be washed in the dishwasher or by hand.
 XL CAPACITY: The 8-quart air fryer capacity lets you fit mains and sides at the same time for making quick family meals, or up to 4 lbs. of French fries or chicken wings.
 SEPARATE HEATING ZONES: 2 independent 4-quart zones have their own cooking baskets, cyclonic fans, and rapid heaters.
 EASY CLEANING: Easy-to-clean baskets and dishwasher-safe crisper plates.
 LESS FAT: Up to 75% less fat than traditional air frying methods. Tested against hand-cut, deep-fried French fries.
WIDE TEMPERATURE RANGE: 105°F to 450°F allows you to gently remove moisture from foods or quickly cook and crisp foods with convection heat.
WHAT'S INCLUDED: DualZone Air Fryer, (2) 4 Quart Baskets, (2) Nonstick Crisper Plates, 15 Recipes, Additional Meal Options & Cooking Charts.
Cord Length: 32""",199,"https://m.media-amazon.com/images/I/511+uXaPLlL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/6140b+ma8sL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/61-LCGtzQUL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/61ZzH5HigSL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/61kiwUy22eL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/81HK-BHAMKL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61rRi6+py1L._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/71FLSYHvW9L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71dcM8g6IAL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51K9+mzlqdL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/61UVY5v4StL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/51ibz0gcE1L._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/51WakqT081L._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/91NjZc9MtcL._AC_SL1500_.jpg","B089TQWJKK","air-fryer-brands"
"Digital Air Fryer Oven 8-in-1 Countertop XL Capacity Silver","Experience unparalleled kitchen versatility with the Ninja Foodi Digital Air Fry Oven Pro, offering 8-in-1 functionality that combines Air Fry, Air Roast, Broil, and Dehydrate capabilities, allowing you to cook a wide range of dishes with ease and precision. Featuring advanced Digital Crisp Control Technology Pro, this innovative oven enables you to achieve optimum cooking results at temperatures of up to 450°F, ensuring your favorite foods are cooked to perfection every time. With its space-saving design, you can effortlessly cook and then flip the oven up and away, instantly reclaiming valuable counter space to keep your kitchen organized and clutter-free."," DIGITAL CRISP CONTROL TECHNOLOGY: Precision-controlled temperature, heat source, and air flow for ultimate versatility and optimum cooking performance.
 INCREASED HEIGHT: Increased height capacity vs. the original Ninja Foodi Digital Air Fry Oven. Fits a full 2-lb roast.
 8-IN-1 VERSATILITY: 8 functions include Air Fry, Air Roast, Bake, Broil, Toast, Bagel, Dehydrate, and Keep Warm in an all-in-one, powerful, 1800-watt appliance.
 LESS FAT: Eat all of your air fried favorites guilt-free with up to 75% less fat when using the Air Fry function vs. traditional deep frying. Tested against hand-cut, deep fried French Fries.
 FASTER COOKING: Up to 60% faster cooking vs. a full-size electric oven, with Air Oven functions ready for cooking in 60 seconds.
 XL FAMILY-SIZED CAPACITY: Air Fry and Roast up to 4 lbs. of ingredients. Bake a 13"" pizza and toast up to 9 slices of bread.
 RECLAIM YOUR COUNTER SPACE: Takes up 45% less space when you flip it up and away to store against your kitchen backsplash.
SELECT TOAST DONENESS: Toast and bagels done the way you like with a toast darkness selector to get it just right.
WHAT’S INCLUDED: Countertop Oven, Air Fry Basket, Sheet Pan, Wire Rack & Removable Crumb Tray.",169.99,"https://m.media-amazon.com/images/I/81eJZm1zPbL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91cmfIoqwdL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/9135fCr0RfL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81oiYC76OML._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81f3FoFT6lL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81nJ1wyLIeL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91dpEG3Th4L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81vTl0pYZxL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/711vXXaKxbL._AC_SL1500_.jpg","B08QZZY53M","air-fryer-brands"
"Non-Stick Air Fryer 4.5QT Large Capacity Digital Airfryer","This product is a premium item designed to provide exceptional quality and performance, offering a seamless user experience with its innovative features and sleek design, perfect for those seeking a high-end solution that combines style and functionality, making it an excellent addition to any collection, while its durability and reliability ensure a long-lasting lifespan, allowing users to enjoy its benefits for years to come, and with its eco-friendly materials and sustainable production process, it's an ideal choice for environmentally conscious consumers who demand top-notch products that not only deliver outstanding results but also align with their values."," Versatile Air Fryers: Our glass air fryers are equipped with the latest 360° hot air circulation system, which can replace a variety of small kitchen appliances to become your all-around cooking partner. The system ensures that the hot air is completely wrapped around the ingredients to prevent partial burning of the food, while reducing the sticking phenomenon and making the cooking process smoother.
 Transparent Glass Body: The unique glass material allows you to clearly observe the changes in the food during cooking. No need to open the lid frequently to avoid heat loss and ensure that the food is heated evenly, you can more accurately control the cooking progress like a precise time not to miss any delicious moment and taste every bite just right.
 5 Preset One-click Operation: Built-in seafood baked fries steak chicken 5 common food preset programs, and carry a manual just click to automatically match the best cooking time and temperature without complicated Settings, kitchen can easily make professional cuisine, in addition to the time setting interval is 5-60 minutes to provide you with plenty of time to control.
 Efficient and Fast heating: Equipped with efficient heating system can quickly heat up in a short time so that the food is evenly heated and delicious without long waiting. Unlike other ordinary air fryers, our products give you more freedom in temperature and time Settings, and the temperature adjustment range is up to 400°F, which is far beyond the ordinary products, whether it is low temperature and slow roasting of delicate dishes or high temperature and fast frying of crispy food.
 Easy to Clean: The glass inner liner and stir-fry basket are coated with non-toxic materials, and the special coating effectively prevents the adhesion of food residues. Cleaning up is a simple task that you can wash by hand easily and quickly or put in the dishwasher. You are also provided with a set of practical accessories with insulated gloves to ensure safe handling of food without getting burned, and gourmet recipes to inspire you to create delicious, silicone MATS and clamps are included to make your cooking experience more convenient.",129,"https://m.media-amazon.com/images/I/61f9+3aqpwL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71+1yj7-dmL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71Zvt34vrLL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71qaTMJeZXL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71Cej52-tSL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/611k1dPg0TL._AC_SL1500_.jpg","B0DSH3GL7F","air-fryer-brands"
"XL Air Fryer Oven 6-in-1 Cooker 10QT Double Basket Grey","Experience the ultimate in air frying convenience with the Ninja DoubleStack XL 2-Basket Air Fryer, capable of cooking up to 4 foods simultaneously, perfect for family-sized meals and maximizing counter space with its efficient 10-QT stacked design. With DoubleStack Air Frying technology, this innovative air fryer delivers optimal air flow and even heat, ensuring crispy, golden perfection every time, whether you're cooking veggies, proteins, or a combination of both. The dual 5-QT baskets enable simultaneous preparation of different dishes, making multi-tasking in the kitchen effortless, and allowing you to cook more food in a smaller footprint, ideal for smaller kitchens where space is limited. Enjoy the flexibility to cook two 5-lb chickens or 5 lbs of wings in each drawer, keeping your countertops clear of clutter while savoring delicious homemade meals, making it an essential addition to any kitchen, outperforming similar models like the NINJA AF080 and CHEFMAN 5QT Air Fryer in terms of power and efficiency."," SPACE SAVING DESIGN: Ninja’s stacked design lets you cook double the food in nearly half the space and still fits under standard cabinets. Plus, it’s 40% slimmer than your traditional 2-basket air fryers.
 DOUBLESTACK AIR FRYING TECHNOLOGY: Only Ninja’s stacked design has 2 independently controlled baskets so you can cook 4 foods at once.
 COOK 4 FOODS WITH STACKED MEAL RACKS: Includes 2 removable stacked meal racks allowing you to cook on 2 levels per basket. Superheated air surrounds both foods in each basket for an all-around crisp.
 SMART FINISH & MATCH COOK: Choose between the Smart Finish feature, which unlocks cooking 2 foods 2 ways that finish at the same time, and the Match Cook feature, which easily copies settings across zones for full 10-qt. capacity meals.
